,epoch,loss,TP,FN,TN,FP,auc_roc,auc_pr,val_loss,val_TP,val_FN,val_TN,val_FP,val_auc_roc,val_auc_pr,hss,val_hss,tss,val_tss,far,val_far,recall,val_recall,precision,val_precision,f1,val_f1,acc,val_acc,num_train_inst,loss_std,loss_min,loss_max,TP_std,TP_min,TP_max,FN_std,FN_min,FN_max,TN_std,TN_min,TN_max,FP_std,FP_min,FP_max,auc_roc_std,auc_roc_min,auc_roc_max,auc_pr_std,auc_pr_min,auc_pr_max,val_loss_std,val_loss_min,val_loss_max,val_TP_std,val_TP_min,val_TP_max,val_FN_std,val_FN_min,val_FN_max,val_TN_std,val_TN_min,val_TN_max,val_FP_std,val_FP_min,val_FP_max,val_auc_roc_std,val_auc_roc_min,val_auc_roc_max,val_auc_pr_std,val_auc_pr_min,val_auc_pr_max,hss_std,hss_min,hss_max,val_hss_std,val_hss_min,val_hss_max,tss_std,tss_min,tss_max,val_tss_std,val_tss_min,val_tss_max,far_std,far_min,far_max,val_far_std,val_far_min,val_far_max,recall_std,recall_min,recall_max,val_recall_std,val_recall_min,val_recall_max,precision_std,precision_min,precision_max,val_precision_std,val_precision_min,val_precision_max,f1_std,f1_min,f1_max,val_f1_std,val_f1_min,val_f1_max,acc_std,acc_min,acc_max,val_acc_std,val_acc_min,val_acc_max,num_train_inst_std,num_train_inst_min,num_train_inst_max,mcc,mcc_min,mcc_max,mcc_std,val_mcc,val_mcc_min,val_mcc_max,val_mcc_std
0,0,0.2225986003875732,8.202986335754394,0.0029709385009482,0.0079220658633857,7.776218318939209,0.7220489859580994,0.7382245421409607,0.6446529507637024,7.604170608520508,0.0502243891358375,0.6477658689022064,7.670587062835693,0.6485179781913757,0.6849231004714966,0.0006730457650636,0.0698838174095216,0.0006554654728428,0.0716391201774379,0.4866463420047398,0.4988927609311247,0.9996376470222454,0.9934599157190036,0.5133536579952601,0.5011072390688753,0.6783481116872092,0.6649564994384645,0.5134994001090046,0.5166012303962482,13120.0,0.0074164576317347,0.2114579528570175,0.2332473695278167,0.0154910413781234,8.1871919631958,8.228960037231445,0.002553404696022,0.0,0.0074441689066588,0.0026737044514553,0.0037220844533294,0.0111662531271576,0.0116953601717136,7.758663177490234,7.791872024536133,0.0089020596204655,0.7065805792808533,0.7317938804626465,0.0053610539285135,0.734795331954956,0.748820424079895,0.0186214267386472,0.6100306510925293,0.6604595184326172,0.085032058459676,7.512195110321045,7.75,0.0756255603408497,0.0,0.195121943950653,1.1459206668572512,0.0,2.9268293380737305,1.165480392335031,5.357723712921143,8.390243530273438,0.0395086239000143,0.6089068055152893,0.7212982177734375,0.0209518658165202,0.6642489433288574,0.7206017374992371,0.0003657166898005,0.0003364003032984,0.0013111250223901,0.1258040302670952,0.0,0.3204921910496086,0.0003553265831318,0.0003274878261525,0.0012744941959492,0.1286994438689184,0.0,0.3279710816467107,0.0008183096106915,0.4852918456538257,0.4876300658485635,0.0414863179164936,0.4162981745654419,0.5246568299414912,0.0003113580728725,0.999092421683906,1.0,0.0098140953224971,0.9746835451848308,1.0,0.0008183096106915,0.5123699341514365,0.5147081543461742,0.0414863179164936,0.4753431700585087,0.5837018254345581,0.0007532678340484457,0.6774686569811385,0.6796136310078145,0.0327571799717296,0.6443831912539477,0.7301461824160862,0.0008787474150525,0.5124393357088313,0.5150085051768031,0.0683962112711141,0.4753431700585087,0.6527707128484562,6.0,13113,13129,0.012957609413148358,0.00681987475828125,0.02561235161639766,0.006988877388135351,0.10275808028108006,0.0,0.4134478535656867,0.1601322198745613
1,1,0.1783121287822723,8.17156524658203,0.0343921046704053,0.1852775603532791,7.598862743377685,0.7170737743377685,0.7527715563774109,0.587893009185791,6.396402263641358,1.257992696762085,4.040395522117615,4.277957320213318,0.7334747076034546,0.7456490516662597,0.0200959710131693,0.3197329101074638,0.019602965901664,0.3225721943113943,0.4818380356429506,0.3511139614237742,0.9958088803535028,0.8360710847159971,0.5181619643570494,0.6488860385762257,0.6816367764183049,0.6952578952157815,0.5226263448630336,0.6536319902298429,26240.0,0.0038886952016721,0.1728879064321518,0.183657169342041,0.0166247565152492,8.151477813720703,8.196029663085938,0.0092356888812679,0.0173697266727685,0.0445544570684433,0.0565643749855628,0.0942928045988082,0.2586206793785095,0.0485862600457614,7.539408683776855,7.68362283706665,0.0036368395881826,0.7142244577407837,0.7240074872970581,0.0035015139479983,0.7496117353439331,0.7595371007919312,0.0402387286228842,0.5133660435676575,0.6274182200431824,1.4599077363472106,3.609755992889404,7.508333206176758,1.4756680875150936,0.2032520323991775,4.097560882568359,2.521809078266545,1.3387097120285034,7.682926654815674,2.54332178414499,0.6016260385513306,7.032258033752441,0.0668286073874756,0.6542081236839294,0.8473454713821411,0.0512319554574485,0.6962875127792358,0.8428816199302673,0.0066437364004021,0.0102768765900387,0.0290229800174798,0.1701388787250237,0.0990450946199602,0.5945133491782324,0.0065063414488914,0.01000834209505,0.0283535698222667,0.1683651053543876,0.1028404787199925,0.5965316954499236,0.0011232900380197,0.4804960309272053,0.483865930755904,0.1375925447816934,0.142857150944701,0.4943310710801397,0.0011241890101645,0.9945856520052478,0.9978851963908602,0.1913932088608014,0.4683544288134654,0.9732620324419724,0.0011232900380197,0.516134069244096,0.5195039690727946,0.1375925447816934,0.5056689289198603,0.857142849055299,0.0007590264391700039,0.6803645881423546,0.6826526450212519,0.06326109655238864,0.605729873887508,0.7955352581894243,0.002569238453445,0.5184265616300864,0.5259955378075871,0.0912913156241681,0.5332661256186604,0.7969773267829678,12.0,26226,26258,0.08283801407325111,0.06007323159460864,0.1047881654273627,0.016743878491745304,0.380958976468558,0.1635865892233049,0.5962133798555148,0.1446233250451101
2,2,0.148622903227806,8.076240348815919,0.1297166407108307,1.413739013671875,6.370401191711426,0.7481508135795594,0.7782680034637451,0.5706089258193969,5.979478979110718,1.6749161928892136,5.600420999526977,2.7179319620132447,0.7902156949043274,0.7895701408386231,0.1689936289007776,0.453330898724834,0.1657443125962586,0.4562431461999869,0.4396558514223175,0.2831961921870053,0.9841898523900484,0.7820421990743845,0.5603441485776826,0.7168038078129947,0.7136863045428445,0.7220776253758927,0.593495415182539,0.7250926937098896,39360.0,0.0029672606899151,0.1432825624942779,0.1514900773763656,0.040420254643921,8.007425308227539,8.120347023010254,0.0332689708098098,0.0930521115660667,0.1868811845779419,0.6790745775585432,0.8833746910095215,2.6992573738098145,0.6734505438264656,5.095296859741211,6.894540786743164,0.0174876453928714,0.7318748235702515,0.7814356088638306,0.0113211546006486,0.7671509385108948,0.7997881174087524,0.0446025495222868,0.4931371808052063,0.6300163269042969,1.4118505791175553,3.292682886123657,7.430894374847412,1.4462958897692997,0.170731708407402,4.4146342277526855,1.5411758706778664,3.130081415176392,7.682926654815674,1.5826805756128866,0.6016260385513306,5.260162830352783,0.0431385356699793,0.7333646416664124,0.8616154193878174,0.0413791287923632,0.7427012920379639,0.8565913438796997,0.0841500348469916,0.1046719843783708,0.3285406651087224,0.0998206755576359,0.3399070161325084,0.6163029175171911,0.0831669286142665,0.1022454292922325,0.323494192613627,0.0993655831685384,0.3506021208856897,0.617837285819208,0.0264906806674072,0.3888731512751834,0.459180306513152,0.0913002720006438,0.1544885241998466,0.4144779071831318,0.0040672253530197,0.9771937765884128,0.9886706940644902,0.1873446096714736,0.4272151823356889,0.9775401070063816,0.0264906806674072,0.540819693486848,0.6111268487248166,0.0913002720006438,0.5855220928168682,0.8455114758001534,0.01998795754524035,0.6991774333141269,0.7519758212070169,0.08085579381608335,0.5676243787176589,0.804715536878246,0.0400886842020595,0.5630382449656811,0.6696338698096321,0.0511330046504913,0.6603965372965135,0.8080604576058705,18.0,39339,39387,0.2740912338231515,0.2106263479123982,0.4204156531057957,0.0782900936672067,0.4879944459090422,0.41281417331163284,0.6172505004849663,0.07165848190463223
3,3,0.128586995601654,7.893800258636475,0.3121571540832519,4.035639095306396,3.748501253128052,0.8310202121734619,0.8404578804969788,0.5294483125209808,6.004174613952637,1.6502204224467278,5.743846487998963,2.5745064854621886,0.8255290269851685,0.8269247770309448,0.4856859537994833,0.4772951756102306,0.4803280636278176,0.4770719502759425,0.3198849124163703,0.2508932749186844,0.9619546935096688,0.7853060804114491,0.6801150875836297,0.7491067250813155,0.7961858061663711,0.7447471391512336,0.7460577855843639,0.7356081491312516,52480.0,0.0029322797059224,0.1244531124830246,0.1333159059286117,0.0634264344982012,7.778465270996094,7.969059467315674,0.0563131305174418,0.2599009871482849,0.4158415794372558,0.6262262947000549,3.417079210281372,5.099009990692139,0.6193766761819942,2.695544481277466,4.351485252380371,0.0196159509889067,0.8077951073646545,0.8614742159843445,0.01523326060082,0.821554958820343,0.864093005657196,0.037024297140186,0.4941767156124115,0.5905244946479797,1.0422072799705195,4.439024448394775,7.577235698699951,1.0904761075510458,0.0243902429938316,3.2682926654815674,2.4519072575518543,0.8861788511276245,7.495934963226318,2.4872118211771994,0.7886179089546204,7.504065036773682,0.0747043746265621,0.6796438694000244,0.8880373239517212,0.0607181540614794,0.710317850112915,0.8833537697792053,0.0744565781586672,0.4093076858811736,0.6077641340345037,0.1976159071174799,0.0978851740934961,0.6371326511629422,0.0749609269763994,0.4037238148186302,0.6034283178616269,0.1960024961714896,0.1024115978894473,0.6399301811251914,0.0362569622582892,0.2573555443455981,0.3543570893273115,0.1255241020273399,0.1508553674958128,0.4975741262902423,0.0068942146041268,0.949252378873844,0.9684163037863068,0.1410804761696738,0.5759493715916664,0.996791443938322,0.0362569622582891,0.6456429106726885,0.7426444556544018,0.1255241020273398,0.5024258737097577,0.8491446325041871,0.022676111610100372,0.7721365307847688,0.8333333354618825,0.05962854583785883,0.6681003564083448,0.8188660277475328,0.0361466719972128,0.7088990681613728,0.8054028990572849,0.1065686149215594,0.5292323311789906,0.818136020741095,24.0,52452,52516,0.5398857760875818,0.4751509546247363,0.6345327551170292,0.059154812750358034,0.5083187682317571,0.2207058422750613,0.6401828967414406,0.15165219616347742
4,4,0.1127889141440391,7.734591770172119,0.4713656783103943,5.64595308303833,2.138187336921692,0.8910044312477112,0.8915957927703857,0.5261513352394104,5.919642925262451,1.734752178192139,6.68665075302124,1.6317021369934082,0.8586179614067078,0.8508694291114807,0.6715607704444686,0.5775765494756508,0.667867250723352,0.5777563376656014,0.2165096587833296,0.2037823062266668,0.9425633021099308,0.7739075327773934,0.7834903412166704,0.7962176937733332,0.8556809746301569,0.7753321113787488,0.8368027972026993,0.7892406634718243,65600.0,0.0034983088755531,0.1068797186017036,0.1177647858858108,0.0271418907276716,7.703474044799805,7.783251285552978,0.0355726618424007,0.4076354801654815,0.5099255442619324,0.099179370220681,5.507444381713867,5.806930541992188,0.091952963871073,1.987623810768128,2.270471572875977,0.0051434809682101,0.882696807384491,0.8979403972625732,0.0050646973968867,0.8836209177970886,0.8988416790962219,0.0249783889392535,0.497797429561615,0.5705136060714722,0.8505922322890368,4.701612949371338,6.910569190979004,0.8859025867384198,0.6910569071769714,2.927419424057007,0.7531493688652562,5.74399995803833,7.846774101257324,0.7525129714845618,0.524193525314331,2.552000045776367,0.0245395468076854,0.8297795653343201,0.8946780562400818,0.0274352865699253,0.8261797428131104,0.8993358612060547,0.0139863108368987,0.6499027037109666,0.689959143901144,0.0362671458696223,0.517261686445505,0.6167284479785891,0.0142175549909891,0.6460028225546708,0.6866990533606407,0.0392425477553383,0.5150537593390352,0.6232381893530947,0.0074463929762835,0.2048208166405721,0.2276402599240422,0.0615941551174038,0.1003086371172712,0.2733504772023469,0.004267569798111,0.9379154102107696,0.9502330465766454,0.1150665436073063,0.6162790664969378,0.9090909105165526,0.0074463929762835,0.7723597400759578,0.7951791833594278,0.0615941551174038,0.726649522797653,0.8996913628827288,0.0054141187940960275,0.8471246305861116,0.8622597139088675,0.03591077822122316,0.7314930984235761,0.8173076896302778,0.0068647205926212,0.8261308077157102,0.8458084959853283,0.0172384108232322,0.7598958313465118,0.8068124010826292,30.0,65565,65645,0.686867275558143,0.6664854320167458,0.7027445676866787,0.01311954348730865,0.5901701119024784,0.5221982803571318,0.6310460604166864,0.03691461658472201
5,5,0.101197774708271,7.696208572387695,0.5097487986087799,6.214118766784668,1.5700216054916385,0.9160088181495668,0.915432381629944,0.5142660140991211,5.776057434082031,1.8783376932144165,6.841923618316651,1.4764292001724244,0.8658692359924316,0.8561259627342224,0.7387659272818123,0.5781051429267481,0.7361859960127959,0.5768541574226017,0.1693535592069913,0.1965949539332857,0.9378867233723742,0.7546405498511864,0.8306464407930088,0.8034050460667143,0.8809966699420964,0.7727799183033386,0.869933682901167,0.7899930734842711,78720.0,0.0042619417200235,0.0957750976085662,0.1080986186861991,0.0396288427048963,7.640198707580566,7.757389068603516,0.0471273169454965,0.4334975481033325,0.5732010006904602,0.1084378835758903,6.033498764038086,6.332512378692627,0.1048010303274845,1.465517282485962,1.7444168329238892,0.0064698275420534,0.9053997993469238,0.924251139163971,0.0064180582213854,0.9051050543785096,0.9237701296806335,0.0228110303661689,0.4847809076309204,0.5450008511543274,0.6512838621254643,4.588709831237793,6.567999839782715,0.6525301542398579,1.0160000324249268,3.040322542190552,0.5595376812678057,6.199999809265137,7.7419352531433105,0.519872407902034,0.6290322542190552,2.095999956130981,0.0191892840122267,0.8304988741874695,0.8888161182403564,0.022865914609855,0.8214015960693359,0.8928719162940979,0.0174912810221396,0.7087626881722038,0.761558338835059,0.0343637633308783,0.533812444382931,0.6096563054537351,0.0176425175049609,0.7059332909990159,0.7591413211173967,0.0365634365235953,0.5263354161834055,0.6133818664603463,0.0098472913429291,0.1588997249563142,0.1858804791091229,0.0453768688509764,0.1205564100173378,0.244491086089786,0.0056790573930618,0.9302114811101624,0.947075625827962,0.0855651266053885,0.601479926500261,0.866033748741457,0.0098472913429292,0.814119520890877,0.8411002750436858,0.0453768688509764,0.7555089139102139,0.8794435899826621,0.007421885944546585,0.8683023170027305,0.8909476623443737,0.03235939544869516,0.7143754015334348,0.8084687314056469,0.0086656753704199,0.8550702184668992,0.8812292967462806,0.0163614058564603,0.7692708315754619,0.8040302229487016,36.0,78678,78774,0.7454324754976466,0.7165660485001794,0.7680337681192558,0.016850228465413182,0.5850419561603292,0.5385911580378494,0.6153284318542498,0.029937815328834997
6,6,0.0907823055982589,7.678439426422119,0.5275180339813232,6.500803375244141,1.2833369731903077,0.9327512741088868,0.9320560693740844,0.5035927653312683,6.0315649032592775,1.622830080986023,6.740547943115234,1.577805018424988,0.869594407081604,0.8566059708595276,0.7727744328268071,0.5985385985895929,0.7708547220287343,0.5985922355054129,0.1430962063327044,0.2062743055325257,0.935720054640822,0.7883387896111296,0.8569037936672956,0.7937256944674743,0.8945446515010683,0.7900021955992081,0.8867511235674943,0.7996137096063759,91840.0,0.0045072015707743,0.0849326997995376,0.0982158780097961,0.0366952228212423,7.627475261688232,7.722084522247314,0.0427621548290052,0.4716748893260956,0.5693069100379944,0.1008328438830278,6.3399505615234375,6.625,0.1005917441107762,1.1435643434524536,1.4379652738571167,0.0051396560060193,0.9239017963409424,0.9392051100730896,0.0052465421845685,0.9230407476425172,0.938408374786377,0.0372180580586092,0.4331211447715759,0.5358937978744507,0.3218051670328177,5.441666603088379,6.423999786376953,0.377614813491463,1.159999966621399,2.308333396911621,0.3172877675867749,6.191999912261963,7.129032135009766,0.2988668572756373,1.2419354915618896,2.1040000915527344,0.0237107051621747,0.8345083594322205,0.9085149765014648,0.025812589250903,0.8285670280456543,0.905054211616516,0.0135806829421059,0.7504759282183694,0.7883431219919114,0.0482301647934284,0.5096226027666817,0.647777581232702,0.0137658756852506,0.748203603668613,0.7865397504661642,0.0483633529517108,0.5082111354037913,0.6465637585332771,0.0096377782091322,0.1299029903078327,0.1579880070311676,0.028478569527877,0.1699779272498889,0.2467167122032739,0.0051523537425774,0.93081666816349,0.9424146746841684,0.0475143750620622,0.7021505294307586,0.8470464129217844,0.0096377782091321,0.8420119929688323,0.8700970096921672,0.028478569527877,0.753283287796726,0.8300220727501111,0.005785192744869824,0.8852106608465545,0.9014813748009022,0.027562542830542668,0.7357746412674129,0.8120950272946907,0.0067345106002833,0.875707968716658,0.8944773924701428,0.0240324252473315,0.7557291630228671,0.8245967688008902,42.0,91791,91903,0.7763395461274738,0.7551868628237741,0.791797981814781,0.012944321384180776,0.5999816163556198,0.5116472710843087,0.6483091088023104,0.047522057720366155
7,7,0.0815630614757537,7.7071044921875,0.4988527119159698,6.682737255096436,1.1014031052589417,0.9464735269546508,0.9455930233001708,0.5437275111675263,5.794444847106933,1.859950339794159,6.773239517211914,1.5451133966445922,0.8608680605888367,0.848024594783783,0.7993015456532978,0.5720557576142035,0.7977236646627877,0.5711297472519391,0.1249328061013776,0.205552198077962,0.9392145995554788,0.7571582980028213,0.8750671938986224,0.794447801922038,0.9059755112214323,0.771154043144124,0.8999213620186011,0.7868341704339752,104960.0,0.0039718597162269,0.076256088912487,0.0879509001970291,0.0322083435755106,7.679900646209717,7.768472671508789,0.0411645028970031,0.4224137961864471,0.5346534848213196,0.1019395027184204,6.53722095489502,6.824257373809815,0.1028701077706965,0.9443069100379944,1.2406947612762451,0.0046848996950388,0.9384472966194152,0.951702117919922,0.0046821486970193,0.9375946521759032,0.9507720470428468,0.0565805166748045,0.4821777939796448,0.6342241168022156,0.6346072601881259,5.185483932495117,6.728000164031982,0.6466219059992873,0.8560000061988831,2.4435484409332275,0.5545169736242881,5.872000217437744,7.365853786468506,0.5163968324892014,1.0243902206420898,2.424000024795532,0.0199791751861191,0.8271818161010742,0.8805790543556213,0.0198284615111246,0.8187620639801025,0.8730539083480835,0.0149362616967086,0.77740412955498,0.8174628328311229,0.0484647187769515,0.4919971132692359,0.6419697253278873,0.0151235975180193,0.7755302470162877,0.815927217379155,0.0496913933666477,0.490778743384431,0.6425831104514144,0.0104442536230169,0.1093123198028558,0.1390820572621287,0.040573911269088,0.162790688863204,0.2648601371047477,0.0049442741619373,0.9350278208863462,0.9484288058621686,0.0843167691048612,0.6797040146999478,0.8871308034038684,0.0104442536230169,0.8609179427378713,0.8906876801971442,0.040573911269088,0.7351398628952523,0.837209311136796,0.006548151716991175,0.8964518465082042,0.9143354054878686,0.033833096523982045,0.7275784706708144,0.8168574421431796,0.0074199915461296,0.8890526819533932,0.9089578623270888,0.0238238718823979,0.7468749936437233,0.8210472780869366,48.0,104904,105032,0.8016515481432445,0.7804823675397429,0.8198715471798436,0.014438903981314352,0.5781835868740245,0.49355695695804325,0.6421943269823657,0.048770087327250945
8,8,0.0737369298934936,7.715787696838379,0.4901697397232055,6.846121311187744,0.9380190134048462,0.9562530517578124,0.9552723526954652,0.5286828875541687,5.999888801574707,1.6545062065124512,6.742150688171387,1.5762022495269776,0.8656368255615234,0.8518699526786804,0.8209737048978478,0.5947518879110857,0.8197727247371009,0.5949368752637811,0.1082873503430933,0.2049137940406675,0.940273173649264,0.7844535185280834,0.8917126496569067,0.7950862059593325,0.9153172063574264,0.786681477621238,0.9106824889867072,0.7977329878337918,118080.0,0.0042586129711207,0.0679042935371398,0.080248050391674,0.0364739601900117,7.663771629333496,7.762315273284912,0.0452415197125718,0.4285714328289032,0.5496277809143066,0.1002694572770124,6.698511123657227,6.988861560821533,0.1018664866090572,0.7797029614448547,1.0794044733047483,0.004542854984402,0.9495381712913512,0.9616841673851012,0.0047794922695742,0.9482524394989014,0.9609972238540648,0.0737903778972562,0.3993140459060669,0.623328685760498,0.5423942778499343,5.258333206176758,6.711999893188477,0.6024648629291989,0.871999979019165,2.491666555404663,0.4567596125895097,5.90399980545044,7.27642297744751,0.4498966501567007,1.0081300735473633,2.3919999599456787,0.0306107895344578,0.8203655481338501,0.9107586741447448,0.031359669083823,0.8123142719268799,0.9051318168640136,0.0151890830686486,0.7957403340717888,0.8364784086897471,0.056732856878328,0.4944889707099715,0.667089714198736,0.0153686994733094,0.7943034554867632,0.8357141980868281,0.0575948474833499,0.4926360461162544,0.6680272219047938,0.0107461196754081,0.0919171254853955,0.1234567919750626,0.036898455555924,0.1544209209984571,0.2627416518600015,0.0054411887077067,0.933081571531936,0.9476770405688788,0.0768333847700781,0.6784946281216107,0.8850210978754496,0.0107461196754081,0.8765432080249373,0.9080828745146045,0.036898455555924,0.7372583481399986,0.8455790790015428,0.006812063288816849,0.9039291717256777,0.9224352418191877,0.03586546596883674,0.7232091713282076,0.8283038473390172,0.0075553856660597,0.8981301879498592,0.9183815573179774,0.0280673881403709,0.7484375051921234,0.8336693520297207,54.0,118017,118161,0.8223310998150826,0.7975017954295271,0.8377085956646807,0.014851726541644697,0.5990760432075664,0.49811006163815746,0.6673954327360294,0.055619216280218764
9,9,0.0666890330612659,7.738055801391601,0.4679015457630157,7.0095573425292965,0.7745830059051514,0.96424800157547,0.9633832097053528,0.5857552289962769,5.824468517303467,1.8299265265464784,6.88803129196167,1.430321455001831,0.8629451751708984,0.8473888039588928,0.8443261172089498,0.5899802301579481,0.8434811222643639,0.5889362801455735,0.090935848515517,0.1920376517342921,0.9429859564627854,0.7611349876411964,0.9090641514844828,0.8079623482657079,0.9256971416972455,0.7784216652292754,0.9222964346277148,0.7959088805728026,131200.0,0.0041364280338888,0.0613933615386486,0.0736219882965087,0.0334795829574759,7.6861042976379395,7.785714149475098,0.0414444465351736,0.4051724076271057,0.5272952914237976,0.0752462641899998,6.879652500152588,7.111386299133301,0.0770116844776306,0.6571782231330872,0.8982630372047424,0.0039011451315908,0.9578850865364076,0.9686232805252076,0.0040383323533344,0.9567561149597168,0.9678844809532166,0.1103279567580698,0.4402880072593689,0.7439100742340088,0.7492468785309021,4.756097793579102,6.783999919891357,0.7637098214084403,0.800000011920929,2.8455283641815186,0.519874211141154,6.0879998207092285,7.634146213531494,0.4831984015585892,0.7560975551605225,2.2079999446868896,0.0260680775374856,0.8242796063423157,0.9024027585983276,0.0271615928626564,0.8144102692604065,0.8916701078414917,0.0125575923733225,0.8213502215138495,0.8562085362043778,0.0570209171004367,0.5025038467717651,0.6474466620941179,0.0126758772770083,0.8203116877654728,0.8556972211235014,0.0593164816309033,0.5002606711121345,0.6456268586631291,0.0084524187011464,0.0782839464005631,0.104639398824282,0.0381713527594597,0.1371681348944583,0.2455515989701865,0.0049865525174913,0.9358006041583528,0.9505337542154352,0.0995754171307756,0.625668468150532,0.8945147654122196,0.0084524187011464,0.8953606011757179,0.9217160535994368,0.0381713527594596,0.7544484010298135,0.8628318651055417,0.005776403071098498,0.9151340570989903,0.9309112552525461,0.04383526843690359,0.7243180465977462,0.8185328189215579,0.006254721588472,0.910854215719044,0.928206714660052,0.0275817998872022,0.7526041679472353,0.824596774944615,60.0,131130,131290,0.8449832772289309,0.8222392390584258,0.8563931524104951,0.012415117350024438,0.5973847143789887,0.507758125809631,0.6486460874991588,0.05390195445704211
